,Brand,Ram,Processor,Storage,Screen Size,Operating System,Price
0,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
1,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
2,ASUS,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,32990
3,HP,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 10,49990
4,ASUS,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,49990
5,HP,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
6,DELL,8,Intel OptaneIntel Core i3 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 11,38990
7,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
8,realme,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 10,46990
9,ASUS,16,AMD Ryzen 7 Quad Core Processor,512 GB SSD,35.56,Windows 11,44990
10,HP,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,59990
11,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
12,ASUS,8,Intel Core i3 Processor,256 GB SSD,39.62,Windows 11,32990
13,ASUS,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,43.94,Windows 11,52990
14,acer,8,Intel Core i3 Processor,256 GB SSD,39.62,Windows 11,29990
15,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
16,ASUS,8,Intel Core i5 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 11,47990
17,ASUS,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,45990
18,MSI,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,47990
19,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
20,APPLE,8,Apple M1 Processor,256 GB SSD,33.78,Mac OS,88990
21,HP,8,Intel Core i3 Processor,512 GB SSD,35.56,Windows 11,40990
22,Lenovo,4,Intel Celeron Dual Core Processor,"256 GB HDD, 256 GB SSD",39.62,DOS,19490
23,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
24,HP,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,65990
25,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
26,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
27,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
28,acer,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,58990
29,realme,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 10,46990
30,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
31,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
32,acer,8,AMD Ryzen 3 Dual Core Processor,256 GB SSD,39.62,Windows 11,24990
33,acer,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,47990
34,ASUS,8,AMD Ryzen 7 Octa Core Processor,512 GB SSD,43.94,Windows 11,73990
35,Lenovo,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,53490
36,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
37,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
38,Lenovo,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,51990
39,ASUS,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,66990
40,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
41,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
42,acer,16,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,51990
43,HP,8,AMD Athlon Dual Core Processor,256 GB SSD,35.56,Windows 11,25990
44,acer,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,35990
45,ASUS,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,43990
46,Lenovo,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,44990
47,Lenovo,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,64490
48,ASUS,8,Intel Core i3 Processor,256 GB SSD,39.62,Windows 11,40990
49,ASUS,8,Intel Core i3 Processor,512 GB SSD,35.56,Windows 11,38990
50,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
51,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
52,HP,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,58990
53,realme,8,"Intel Evo Core i5 Processor, Intel Core i5 Processor",512 GB SSD,35.56,Windows 10,59990
54,acer,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 10,47990
55,HP,8,AMD Ryzen 3 Quad Core Processor,512 GB SSD,39.62,Windows 11,37499
56,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
57,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
58,ASUS,8,AMD Ryzen 9 Octa Core Processor,1 TB SSD,35.56,Windows 10,94990
59,ASUS,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,32990
60,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
61,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
62,ASUS,4,Intel Celeron Dual Core Processor,256 GB SSD,35.56,Windows 11,23990
63,HP,16,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,35.56,Windows 11,48990
64,APPLE,8,Apple M2 Processor,512 GB SSD,33.78,Mac OS,139990
65,ASUS,16,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 11,89990
66,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
67,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
68,ASUS,8,AMD Ryzen 5 Hexa Core Processor,1 TB SSD,39.62,Windows 11,59990
69,DELL,16,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,70990
70,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
71,Lenovo,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,44990
72,Infinix,8,Intel Celeron Quad Core Processor,256 GB SSD,35.56,Windows 11,22990
73,HP,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,46990
74,ASUS,8,Intel Core i5 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 10,50990
75,Infinix,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,28990
76,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
77,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
78,MSI,16,Intel Core i7 Processor,512 GB SSD,39.62,Windows 10,84990
79,APPLE,16,Apple M1 Pro Processor,512 GB SSD,36.07,Mac OS,181990
80,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
81,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
82,MSI,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,109990
83,SAMSUNG,4,Qualcomm Snapdragon 7c Gen 2 Processor,128 GB EMMC,35.56,Windows 11,32990
84,Infinix,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,37990
85,APPLE,8,Apple M2 Processor,512 GB SSD,34.54,Mac OS,139990
86,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
87,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
88,Lenovo,4,Intel Core i3 Processor,256 GB SSD,39.62,Windows 11,29990
89,Lenovo,4,Intel Celeron Dual Core Processor,64 GB EMMC,35.56,Chrome,19490
90,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
91,Lenovo,8,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 11,73490
92,ASUS,8,AMD Ryzen 5 Hexa Core Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 11,52990
93,HP,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,41890
94,DELL,8,Intel Pentium Silver Processor,256 GB SSD,39.62,Windows 11,30428
95,acer,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,34990
96,Lenovo,4,Intel Celeron Dual Core Processor,64 GB EMMC,35.56,Chrome,19490
97,Lenovo,4,Intel Core i3 Processor,256 GB SSD,39.62,Windows 11,29990
98,APPLE,8,Apple M1 Processor,256 GB SSD,33.78,Mac OS,88990
99,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
100,MSI,8,Intel Core i7 Processor,512 GB SSD,39.62,Windows 10,65990
101,ASUS,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,33490
102,HP,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,60990
103,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
104,HP,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,46990
105,ASUS,16,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 11,59990
106,MSI,16,Intel Core i7 Processor,1 TB SSD,39.62,Windows 10,114990
107,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
108,ASUS,16,Intel Core i7 Processor,1 TB SSD,40.64,Windows 10,119990
109,Infinix,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,42990
110,ASUS,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,89990
111,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
112,MSI,8,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 11,79990
113,ASUS,8,Intel Core i5 Processor,1 TB SSD,39.62,Windows 11,70990
114,Lenovo,8,Intel Core i3 Processor,256 GB SSD,39.62,Windows 11,33900
115,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
116,realme,8,"Intel Evo Core i5 Processor, Intel Core i5 Processor",512 GB SSD,35.56,Windows 10,59990
117,Infinix,16,Intel Core i7 Processor,512 GB SSD,39.62,Windows 11,52990
118,APPLE,16,Apple M1 Processor,512 GB SSD,33.78,Mac OS,124990
119,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
120,RedmiBook,8,Intel Core i3 Processor,256 GB SSD,39.62,Windows 11,31990
121,acer,16,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,66990
122,DELL,16,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 11,89081
123,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
124,APPLE,8,Apple M1 Processor,512 GB SSD,33.78,Mac OS,104990
125,Lenovo,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,53490
126,ASUS,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,45990
127,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
128,ASUS,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,45990
129,MSI,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,51990
130,HP,16,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 11,75990
131,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
132,Lenovo,8,Intel Core i3 Processor,256 GB SSD,39.62,Windows 11,36990
133,HP,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,78800
134,HP,8,AMD Athlon Dual Core Processor,512 GB SSD,39.62,Windows 11,29390
135,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
136,Infinix,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,30990
137,Lenovo,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,62490
138,ASUS,16,Intel Core i7 Processor,512 GB SSD,35.56,Windows 11,89990
139,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
140,HP,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,58899
141,MSI,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,85990
142,DELL,8,AMD Ryzen 3 Dual Core Processor,1 TB HDD,88.9,Windows 11,33099
143,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
144,Lenovo,8,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 11,73490
145,Lenovo,8,Intel Core i5 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 11,63490
146,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
147,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
148,ASUS,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,35.56,Windows 11,38990
149,HP,8,Intel Core i5 Processor,512 GB SSD,40.89,Windows 11,67990
150,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
151,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
152,HP,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39790
153,APPLE,16,Apple M1 Pro Processor,1 TB SSD,41.15,Mac OS,241990
154,APPLE,8,Apple M1 Processor,512 GB SSD,33.78,Mac OS,104990
155,DELL,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,35.56,Windows 11,42190
156,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
157,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
158,ASUS,8,Intel Core i3 Processor,512 GB SSD,35.56,Windows 11,39990
159,ASUS,16,Intel Core i7 Processor,1 TB SSD,39.62,Windows 11,99990
160,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
161,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
162,APPLE,32,Apple M1 Max Processor,1 TB SSD,41.15,Mac OS,309490
163,ASUS,16,Intel Core i5 Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 11,64990
164,ASUS,16,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 11,89990
165,ASUS,16,AMD Ryzen 7 Octa Core Processor,512 GB SSD,43.94,Windows 10,85990
166,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
